Index,Location,Price,Size,Cost,Appreciation Value
H8382500,Sholinganallur,1200,500,600000,790000.0
H826682200,Velachery,5000,200,1000000,1450000.0
L736879200,Ambattur,10000,200,2400000,3480000.0
H8382200,Ayanavaram,10000,200,2000000,2900000.0
M71400,Perambur,20000,400,8000000,11600000.0
V737465897865716582123,Maduravoyil,1234,123,151782,220083.0
H8382100,Alandur,100,100,350000,507500.0
V737465897865716582100,Egmore,100,100,390000,565500.0
B6578658387656873100,Sholinganallur,500,100,520000,754000.0
V7374658978657165822500,Velachery,1000,250,255000,369750.0
M89766580798269600,Mylapore,1500,600,900000,1305000.0
G8573786889500,Guindy,2000,500,1100000,1595000.0
A8265757579786577100,Arakkonam,3200,250,850000,1232500.0
A68896582500,Adyar,2300,500,1150000,1667500.0
A787865327865716582400,Anna Nagar,1000,400,400000,580000.0
P79828582300,Porur,2000,300,600000,870000.0
